"Frequency (Hz)","Absolute Amplitude (a.u.)"
2.343750000E1,6.773279468E-2
4.687500000E1,1.249744912E-1
7.031250000E1,8.033644102E-1
9.375000000E1,6.324792381E-1
1.171875000E2,2.858514335E-1
1.406250000E2,4.209038838E-1
1.640625000E2,3.148058355E-1
1.875000000E2,7.254993040E-1
2.109375000E2,6.936220788E-1
2.343750000E2,7.438219166E-1
2.578125000E2,7.099002231E-1
2.812500000E2,2.757013131E-1
3.046875000E2,2.174196913E-1
3.281250000E2,1.724309329E-1
3.515625000E2,2.380039901E-1
3.750000000E2,4.385109848E-1
3.984375000E2,7.431848487E-2
4.218750000E2,1.566987970E-1
4.453125000E2,7.880977609E-2
4.687500000E2,9.750048274E-2
4.921875000E2,7.491559822E-2
5.156250000E2,8.880348006E-2
5.390625000E2,1.591599823E-1
5.625000000E2,7.529876362E-2
5.859375000E2,1.040736995E-1
6.093750000E2,1.612254290E-1
6.328125000E2,1.374041428E-1
6.562500000E2,9.140074143E-2
6.796875000E2,1.697119081E-1
7.031250000E2,9.012599972E-2
7.265625000E2,2.479412795E-1
7.500000000E2,2.269841013E-1
7.734375000E2,7.005276567E-2
7.968750000E2,1.708085994E-1
8.203125000E2,7.260629805E-2
8.437500000E2,2.625941217E-1
8.671875000E2,1.847857376E-1
8.906250000E2,9.003212262E-2
9.140625000E2,4.269063850E-2
9.375000000E2,1.249400495E-1
9.609375000E2,1.173967072E-1
9.843750000E2,1.600932283E-1
1.007812500E3,1.684494733E-1
1.031250000E3,6.787929820E-2
1.054687500E3,1.730523327E-2
1.078125000E3,1.175371267E-1
1.101562500E3,1.099020091E-2
1.125000000E3,1.929924507E-2
1.148437500E3,1.043969826E-1
1.171875000E3,4.459072724E-2
1.195312500E3,5.448911414E-2
1.218750000E3,1.441659492E-1
1.242187500E3,3.897348268E-2
1.265625000E3,4.827491582E-2
1.289062500E3,6.764343610E-2
1.312500000E3,8.381975947E-2
1.335937500E3,6.275486994E-2
1.359375000E3,4.493185148E-2
1.382812500E3,2.270798255E-3
1.406250000E3,9.971822913E-2
1.429687500E3,1.452063978E-1
1.453125000E3,1.118010291E-1
1.476562500E3,9.979028383E-2
1.500000000E3,3.986344228E-2
1.523437500E3,1.935313220E-2
1.546875000E3,3.364983495E-2
1.570312500E3,7.309854903E-2
1.593750000E3,1.072539455E-2
1.617187500E3,2.879350691E-2
1.640625000E3,7.538024039E-2
1.664062500E3,1.163242102E-1
1.687500000E3,4.633417139E-2
1.710937500E3,5.557656012E-2
1.734375000E3,1.457683658E-2
1.757812500E3,7.658274729E-2
1.781250000E3,9.320850851E-2
1.804687500E3,3.122074439E-3
1.828125000E3,3.395154109E-2
1.851562500E3,7.230618801E-2
1.875000000E3,1.473757359E-1
1.898437500E3,9.336623371E-2
1.921875000E3,2.783250185E-1
1.945312500E3,2.999643474E0
1.968750000E3,4.459066805E-1
1.992187500E3,1.468022835E-1
2.015625000E3,1.542923743E-1
2.039062500E3,1.327755751E-1
2.062500000E3,2.908906275E-2
2.085937500E3,1.122453811E-1
2.109375000E3,8.834125783E-2
2.132812500E3,1.208150023E-1
2.156250000E3,4.018201131E-2
2.179687500E3,8.302225074E-2
2.203125000E3,7.453977820E-2
2.226562500E3,9.558144580E-2
2.250000000E3,1.122188262E-1
2.273437500E3,9.579712147E-2
2.296875000E3,1.216729732E-1
2.320312500E3,7.211016371E-2
2.343750000E3,7.497351650E-2
2.367187500E3,5.586652918E-2
2.390625000E3,5.178822169E-2
2.414062500E3,1.191624699E-1
2.437500000E3,5.793347152E-1
2.460937500E3,6.508058339E-2
2.484375000E3,4.021804476E-2
2.507812500E3,6.887138379E-2
2.531250000E3,2.885694841E-2
2.554687500E3,6.366779944E-2
2.578125000E3,2.387157177E-2
2.601562500E3,2.164780653E-2
2.625000000E3,3.003677786E-2
2.648437500E3,3.855401221E-2
2.671875000E3,3.728281166E-2
2.695312500E3,3.676309877E-2
2.718750000E3,1.897404957E-2
2.742187500E3,2.510615329E-2
2.765625000E3,1.112626558E-2
2.789062500E3,6.649793903E-2
2.812500000E3,3.934490303E-2
2.835937500E3,4.295106833E-2
2.859375000E3,5.685187328E-2
2.882812500E3,5.648866872E-2
2.906250000E3,1.992899114E-1
2.929687500E3,5.545513646E-1
2.953125000E3,1.397160316E-1
2.976562500E3,1.106503915E-1
3.000000000E3,4.504887966E-2
3.023437500E3,1.243893309E-1
3.046875000E3,5.244731653E-2
3.070312500E3,8.907143849E-2
3.093750000E3,5.938571069E-2
3.117187500E3,2.080005710E-2
3.140625000E3,1.127127004E-1
3.164062500E3,1.090059142E-1
3.187500000E3,6.449557473E-2
3.210937500E3,1.175545871E-1
3.234375000E3,1.421380867E-1
3.257812500E3,9.103273538E-2
3.281250000E3,1.156778378E-1
3.304687500E3,1.172950766E-1
3.328125000E3,1.917331634E-1
3.351562500E3,2.798311306E-1
3.375000000E3,4.579036607E-1
3.398437500E3,1.453674546E0
3.421875000E3,1.002285793E0
3.445312500E3,3.371814618E-1
3.468750000E3,1.974125397E-1
3.492187500E3,1.401450851E-1
3.515625000E3,1.141255526E-1
3.539062500E3,4.989245848E-2
3.562500000E3,2.478708997E-2
3.585937500E3,7.194553299E-2
3.609375000E3,4.211325684E-2
3.632812500E3,4.438168641E-2
3.656250000E3,2.150727527E-2
3.679687500E3,9.751614549E-3
3.703125000E3,2.244332833E-2
3.726562500E3,5.516179467E-2
3.750000000E3,2.680887875E-2
3.773437500E3,8.396795213E-2
3.796875000E3,9.615171156E-2
3.820312500E3,1.117976615E-1
3.843750000E3,2.246823695E-1
