"Time (s)","Peak-Frequency"
0.000000000E0,1.640625000E2
1.965663850E-1,1.640625000E2
2.959962310E-1,1.640625000E2
3.959599230E-1,2.578125000E2
4.960609230E-1,3.046875000E2
5.955307690E-1,1.406250000E2
6.936649230E-1,1.640625000E2
7.928806150E-1,1.640625000E2
8.947559230E-1,3.046875000E2
9.992080000E-1,3.046875000E2
1.093878462E0,3.046875000E2
1.192297154E0,1.406250000E2
1.294191923E0,1.406250000E2
1.394178692E0,1.640625000E2
1.494323077E0,1.640625000E2
1.596481539E0,3.281250000E2
1.696620231E0,1.406250000E2
1.796617539E0,2.578125000E2
1.892989769E0,2.578125000E2
1.996068615E0,1.640625000E2
2.096328615E0,3.585937500E3
2.196355923E0,1.640625000E2
2.296335615E0,6.796875000E2
2.396554462E0,7.031250000E2
2.502696846E0,1.171875000E2
2.614484923E0,1.171875000E2
2.696336615E0,1.171875000E2
2.796464616E0,1.171875000E2
2.896309154E0,2.109375000E2
2.996594692E0,5.156250000E2
3.096126462E0,5.156250000E2
3.197151923E0,7.500000000E2
3.296111000E0,1.171875000E2
3.396355077E0,2.109375000E2
3.496401154E0,1.640625000E2
3.596491616E0,2.812500000E2
3.696067385E0,2.008593750E4
3.796280846E0,2.578125000E2
3.896321462E0,1.982812500E4
3.996506154E0,2.343750000E2
4.096216000E0,2.029687500E4
4.196526154E0,2.812500000E2
4.296463693E0,1.406250000E2
4.396762693E0,2.343750000E2
4.496254462E0,2.001562500E4
4.603431077E0,1.985156250E4
4.696424616E0,2.343750000E2
4.796712923E0,3.984375000E3
4.896193846E0,1.982812500E4
5.005413769E0,2.578125000E2
5.095871693E0,2.343750000E2
5.196052231E0,1.875000000E2
5.296337231E0,2.812500000E2
5.396777231E0,2.343750000E2
5.496290077E0,1.640625000E2
5.596662154E0,1.406250000E2
5.697636616E0,1.640625000E2
5.796027616E0,3.984375000E3
5.896252846E0,1.406250000E2
5.997180846E0,1.171875000E2
6.096155923E0,1.171875000E2
6.196155693E0,3.046875000E2
6.296148000E0,9.375000000E1
6.396177231E0,1.406250000E2
6.496067385E0,2.109375000E2
6.596002385E0,2.109375000E2
6.696707308E0,2.578125000E2
6.797701231E0,2.812500000E2
6.895747308E0,3.046875000E2
6.996142154E0,3.046875000E2
7.095826154E0,1.406250000E2
7.196303923E0,1.406250000E2
7.296257154E0,6.796875000E2
7.398105770E0,3.046875000E2
7.495532847E0,1.406250000E2
7.594294385E0,1.406250000E2
7.694279693E0,1.640625000E2
7.796895693E0,5.390625000E2
7.892830077E0,1.640625000E2
7.996654770E0,1.640625000E2
8.097048924E0,3.937500000E3
8.197063693E0,1.875000000E2
8.299164924E0,1.640625000E2
8.396978077E0,1.640625000E2
8.496536616E0,7.031250000E2
8.597453154E0,4.687500000E2
8.696778462E0,3.046875000E2
8.796687077E0,3.046875000E2
8.897730693E0,1.640625000E2
8.996135693E0,6.328125000E2
9.097203616E0,4.031250000E3
9.196290077E0,1.640625000E2
9.294211924E0,6.093750000E2
9.396187385E0,4.687500000E2
9.494437462E0,3.046875000E2
9.597134385E0,2.812500000E2
9.694293770E0,2.578125000E2
9.796977462E0,2.343750000E2
9.896959077E0,2.343750000E2
1.000026123E1,6.328125000E2
1.009402646E1,5.859375000E2
1.019415592E1,5.859375000E2
1.029677938E1,6.093750000E2
1.039680700E1,4.031250000E3
1.049725969E1,1.640625000E2
1.059704177E1,1.640625000E2
1.069640885E1,1.875000000E2
1.080079008E1,9.375000000E1
1.089642854E1,2.109375000E2
1.099642485E1,1.640625000E2
1.109650608E1,1.640625000E2
1.120585323E1,1.406250000E2
1.129643469E1,1.406250000E2
1.139625292E1,3.984375000E3
1.149615715E1,1.640625000E2
1.159781877E1,1.406250000E2
1.169559969E1,1.171875000E2
1.179614146E1,1.989843750E4
1.189752608E1,1.989843750E4
1.200421600E1,2.578125000E2
1.209667685E1,1.875000000E2
1.219609408E1,1.985156250E4
1.229643292E1,1.406250000E2
1.239722854E1,3.960937500E3
1.249606023E1,1.640625000E2
1.259670892E1,1.875000000E2
1.269616023E1,1.875000000E2
1.280798585E1,1.875000000E2
1.289617131E1,2.109375000E2
1.299659992E1,2.109375000E2
1.309703777E1,1.875000000E2
1.320887785E1,1.875000000E2
1.329612216E1,1.875000000E2
1.339618954E1,1.406250000E2
1.349740462E1,1.406250000E2
1.361176238E1,9.375000000E1
1.369609969E1,1.406250000E2
