"Time (s)","Recording (a.u.)"
0.000000000E0,2.014221625E-3
2.083333333E-5,8.972441786E-3
4.166666667E-5,1.922666097E-3
6.250000000E-5,7.690664388E-3
8.333333333E-5,-1.129184851E-3
1.041666667E-4,-3.540147099E-3
1.250000000E-4,-6.591998047E-3
1.458333333E-4,-1.184118168E-2
1.666666667E-4,-7.415997803E-3
1.875000000E-4,-9.552293466E-3
2.083333333E-4,-2.136295663E-4
2.291666667E-4,8.545182653E-4
2.500000000E-4,2.777184362E-3
2.708333333E-4,5.523850215E-3
2.916666667E-4,6.714072085E-4
3.125000000E-4,1.220740379E-3
3.333333333E-4,-1.556443983E-3
3.541666667E-4,-3.906369213E-3
3.750000000E-4,-2.685628834E-3
3.958333333E-4,-8.728293710E-3
4.166666667E-4,-9.155552843E-5
4.375000000E-4,-2.746665853E-3
4.583333333E-4,5.005035554E-3
4.791666667E-4,7.324442274E-3
5.000000000E-4,5.310220649E-3
5.208333333E-4,9.460737938E-3
5.416666667E-4,-3.631702628E-3
5.625000000E-4,1.190221870E-3
5.833333333E-4,-7.568590350E-3
6.041666667E-4,-2.685628834E-3
6.250000000E-4,2.746665853E-4
6.458333333E-4,-1.678518021E-3
6.666666667E-4,2.258369701E-3
6.875000000E-4,-4.486220893E-3
7.083333333E-4,-1.281777398E-3
7.291666667E-4,-1.586962493E-3
7.500000000E-4,-3.051850948E-4
7.708333333E-4,-2.105777154E-3
7.916666667E-4,-8.056886502E-3
8.125000000E-4,-1.120029298E-2
8.333333333E-4,-1.339762566E-2
8.541666667E-4,-1.019318216E-2
8.750000000E-4,-2.777184362E-3
8.958333333E-4,1.251258889E-3
9.166666667E-4,7.995849483E-3
9.375000000E-4,3.112887967E-3
9.583333333E-4,5.584887234E-3
9.791666667E-4,2.685628834E-3
1.000000000E-3,2.166814173E-3
1.020833333E-3,3.662221137E-3
1.041666667E-3,-4.608294931E-3
1.062500000E-3,4.577776421E-4
1.083333333E-3,-8.697775201E-3
1.104166667E-3,-2.044740135E-3
1.125000000E-3,-1.525925474E-3
1.145833333E-3,-3.662221137E-4
1.166666667E-3,5.066072573E-3
1.187500000E-3,3.967406232E-4
1.208333333E-3,2.655110324E-3
1.229166667E-3,-4.028443251E-3
1.250000000E-3,-4.242072817E-3
1.270833333E-3,-5.279702139E-3
1.291666667E-3,-7.141331217E-3
1.312500000E-3,-5.584887234E-3
1.333333333E-3,-4.303109836E-3
1.354166667E-3,-2.899258400E-3
1.375000000E-3,3.967406232E-4
1.395833333E-3,1.220740379E-4
1.416666667E-3,5.096591082E-3
1.437500000E-3,6.103701895E-4
1.458333333E-3,2.990813929E-3
1.479166667E-3,1.953184606E-3
1.500000000E-3,-3.051850948E-4
1.520833333E-3,2.502517777E-3
1.541666667E-3,-7.629627369E-4
1.562500000E-3,6.378368480E-3
1.583333333E-3,4.638813440E-3
1.604166667E-3,8.606219672E-3
1.625000000E-3,4.150517289E-3
1.645833333E-3,1.464888455E-3
1.666666667E-3,-2.533036287E-3
1.687500000E-3,-6.866664632E-3
1.708333333E-3,-5.829035310E-3
1.729166667E-3,-7.751701407E-3
1.750000000E-3,-3.631702628E-3
1.770833333E-3,-5.249183630E-3
1.791666667E-3,-2.197332682E-3
1.812500000E-3,1.892147588E-3
1.833333333E-3,3.448591571E-3
1.854166667E-3,7.202368236E-3
1.875000000E-3,7.812738426E-3
1.895833333E-3,2.014221625E-3
1.916666667E-3,4.272591327E-4
1.937500000E-3,-5.279702139E-3
1.958333333E-3,-3.875850703E-3
1.979166667E-3,-3.021332438E-3
2.000000000E-3,1.831110569E-4
2.020833333E-3,3.906369213E-3
2.041666667E-3,4.211554308E-3
2.062500000E-3,7.354960784E-3
2.083333333E-3,4.058961760E-3
2.104166667E-3,9.338663900E-3
2.125000000E-3,2.319406720E-3
2.145833333E-3,5.188146611E-4
2.166666667E-3,-5.523850215E-3
2.187500000E-3,-1.013214515E-2
2.208333333E-3,-9.918515580E-3
2.229166667E-3,-1.147495956E-2
2.250000000E-3,-5.981627857E-3
2.270833333E-3,-2.533036287E-3
2.291666667E-3,2.655110324E-3
2.312500000E-3,3.021332438E-3
2.333333333E-3,5.737479781E-3
2.354166667E-3,2.563554796E-3
2.375000000E-3,5.798516800E-4
2.395833333E-3,-1.770073550E-3
2.416666667E-3,-3.387554552E-3
2.437500000E-3,-5.401776177E-3
2.458333333E-3,-4.333628346E-3
2.479166667E-3,-4.089480270E-3
2.500000000E-3,1.525925474E-4
2.520833333E-3,3.753776666E-3
2.541666667E-3,4.882961516E-3
2.562500000E-3,8.087405011E-3
2.583333333E-3,1.556443983E-3
2.604166667E-3,7.324442274E-4
2.625000000E-3,-5.218665120E-3
2.645833333E-3,-4.303109836E-3
2.666666667E-3,-3.234962004E-3
2.687500000E-3,1.831110569E-4
2.708333333E-3,2.746665853E-4
